model,target_type
EuroCOVIDhub-baseline,Multi-country
FIAS_FZJ-Epi1Ger,Single-country
HZI-AgeExtendedSEIR,Single-country
ICM-agentModel,Single-country
IEM_Health-CovidProject,Multi-country
ILM-EKF,Multi-country
ITWW-county_repro,Single-country
Imperial-DeCa,Multi-country
Imperial-RtI0,Multi-country
Imperial-sbkp,Multi-country
JBUD-HMXK,Multi-country
Karlen-pypm,Multi-country
LANL-GrowthRate,Multi-country
LeipzigIMISE-SECIR,Single-country
MIMUW-StochSEIR,Single-country
MIT_CovidAnalytics-DELPHI,Single-country
MOCOS-agent1,Single-country
MUNI-ARIMA,Multi-country
MUNI-LaggedRegARIMA,Multi-country
MUNI-VAR,Multi-country
MUNI_DMS-SEIAR,Single-country
RobertWalraven-ESG,Multi-country
SDSC_ISG-TrendModel,Multi-country
UB-BSLCoV,Single-country
ULZF-SEIRC19SI,Single-country
UMass-MechBayes,Multi-country
UMass-SemiMech,Multi-country
UNED-PreCoV2,Single-country
USC-SIkJalpha,Multi-country
UpgUmibUsi-MultiBayes,Single-country
bisop-seirfilter,Single-country
bisop-seirfilterlite,Multi-country
epiMOX-SUIHTER,Single-country
epiforecasts-EpiExpert,Multi-country
epiforecasts-EpiExpert_Rt,Multi-country
epiforecasts-EpiExpert_direct,Multi-country
epiforecasts-EpiNow2,Multi-country
itwm-dSEIR,Single-country
prolix-euclidean,Multi-country
